d_name,model_name,bias_mean,variance_mean,test_mse_mean,test_score_mean,n_subsamples_mean,subsample_ratio_mean,fit_time_mean,n_splits_mean,random_state_mean,test_size_mean,bias_std,variance_std,test_mse_std,test_score_std,n_subsamples_std,subsample_ratio_std,fit_time_std,n_splits_std,random_state_std,test_size_std
Crimes,EBM_GA2M,0.01828718924079436,0.00084617107110298,0.0191333603118974,-0.1382632951872836,5,0.5,36.4733371257782,5,42,300,0.0010557570996538907,0.00010426873953683406,0.0010294090596813467,0.003712979484004279,0.0,0.0,3.9771327202793723,0.0,0.0,0.0
Crimes,EBM_GAM,0.01895095308190906,0.0004570906517321,0.01940804373364124,-0.13923332859107035,5,0.5,5.807772207260132,5,42,300,0.0013493590515641217,5.302023598191068e-05,0.0013301756852701796,0.004785572419443091,0.0,0.0,0.06160363925271208,0.0,0.0,0.0
Crimes,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,0.01836692645835916,0.00044329299913034,0.01881021945748952,-0.137081845009199,5,0.5,408.58610129356384,5,42,300,0.0012241501351978024,7.174574101323796e-05,0.0012174591256658694,0.004407813254969831,0.0,0.0,21.190242177298323,0.0,0.0,0.0
Crimes,EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.01864552689252056,0.00053127993106294,0.01917680682358352,-0.13841225699163434,5,0.5,438.4037557601929,5,42,300,0.001217824863666167,4.1196464174482234e-05,0.0011879330320858712,0.004303832024131135,0.0,0.0,27.236661575792056,0.0,0.0,0.0
Crimes,EGB_XGB_GA2M_CYCLIC_CYCLIC,0.01855394441699048,0.0006768106297382599,0.01923075504672878,-0.13859979521712118,5,0.5,500.19363512992857,5,42,300,0.0011785988938326402,2.7644376036181012e-05,0.0011766054158893493,0.0042621240353936515,0.0,0.0,20.9965020774141,0.0,0.0,0.0
Crimes,EGB_XGB_GA2M_CYCLIC_RANDOM_BEST_FIT,0.018641435154506482,0.00053030982805256,0.01917174498255912,-0.13839627267368582,5,0.5,484.4529860496521,5,42,300,0.0011998005493728714,4.3566016630076476e-05,0.001168362802042534,0.004226318280849303,0.0,0.0,33.33600820811358,0.0,0.0,0.0
Crimes,EGB_XGB_GA2M_CYCLIC_RANDOM_CYCLIC_RANDOM,0.0185419424445716,0.0006610656477941,0.01920300809236574,-0.13850109714309133,5,0.5,502.57832312583923,5,42,300,0.001173369949064428,3.530097014045255e-05,0.0011723295246462459,0.004242114971513148,0.0,0.0,22.44160963328064,0.0,0.0,0.0
Crimes,EGB_XGB_GAM_BEST_FIT_BEST_FIT,0.0184421156340474,0.00039547514006026,0.01883759077410772,-0.13718310141136444,5,0.5,338.0474492549896,5,42,300,0.0012134034309693824,5.80208473677334e-05,0.0012042516888605918,0.00436350225319678,0.0,0.0,11.890832904478039,0.0,0.0,0.0
Crimes,EGB_XGB_GAM_CYCLIC_CYCLIC,0.01901387190852486,0.00046399488021016,0.01947786678873508,-0.13948834117133196,5,0.5,402.7514133453369,5,42,300,0.0013502939823343343,6.992785584435117e-05,0.0012915269662608535,0.004641066858829915,0.0,0.0,16.824298753467996,0.0,0.0,0.0
Crimes,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,0.019015880236546,0.0004625048405264,0.01947838507707244,-0.13949093531827852,5,0.5,382.67386083602906,5,42,300,0.0013423781550955527,6.570375386925106e-05,0.001289984220191549,0.004635199542821265,0.0,0.0,19.76838929340397,0.0,0.0,0.0
