d_name,model_name,fit_time_mean,fit_trees_main_mean,fit_trees_inter_mean,test_score_mean,n_splits_mean,random_state_mean,test_size_mean,fit_time_std,fit_trees_main_std,fit_trees_inter_std,test_score_std,n_splits_std,random_state_std,test_size_std
Crimes,EBM_GA2M,7.998876619338989,88860.0,19331.2,-0.13680708553523865,5,42,300,1.9045965552591142,7721.916860469298,5127.199937587767,0.004689366625488738,0.0,0.0,0.0
Crimes,EBM_GAM,1.571124792098999,88860.0,0.0,-0.13656117667061324,5,42,300,0.14258558768545043,7721.916860469298,0.0,0.004984277052555632,0.0,0.0,0.0
Crimes,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,107.7971540927887,63340.6,19723.8,-0.1341354465429588,5,42,300,7.380187186331524,3002.7794291289533,2968.8608421413082,0.0052982241554853865,0.0,0.0,0.0
Crimes,EGB_XGB_GA2M_CYCLIC_BEST_FIT,130.95639967918396,101540.2,16723.2,-0.13541334357767906,5,42,300,8.789128262271976,3625.331943422562,1108.0946259232555,0.005071873914593001,0.0,0.0,0.0
Crimes,EGB_XGB_GA2M_CYCLIC_CYCLIC,139.2557233810425,101676.2,18569.8,-0.13555279659713815,5,42,300,7.947676940577291,3438.446989557932,2895.580632619303,0.005203174925039789,0.0,0.0,0.0
Crimes,EGB_XGB_GAM_BEST_FIT_BEST_FIT,81.29603877067566,63340.6,0.0,-0.13437547674473477,5,42,300,6.616006566857608,3002.7794291289533,0.0,0.0047746969839102425,0.0,0.0,0.0
Crimes,EGB_XGB_GAM_CYCLIC_CYCLIC,106.73297224044799,101646.8,0.0,-0.1364332339985309,5,42,300,4.0217247964618394,4001.5286703958523,0.0,0.005075922927621849,0.0,0.0,0.0
Crimes,EGB_XGB_GAM_CYCLIC_REVERSE_CYCLIC_REVERSE,113.97194261550904,101492.6,0.0,-0.13645853645054218,5,42,300,6.964494743922069,3685.7773671235204,0.0,0.004997434407548692,0.0,0.0,0.0
Crimes,Spline,556.3419023036956,0.0,0.0,-0.1454363282444851,5,42,300,13.280358718691433,0.0,0.0,0.003980896152099982,0.0,0.0,0.0
Crimes,XGB,0.20304179191589347,0.0,0.0,-0.1398245908161643,5,42,300,0.0349695294178643,0.0,0.0,0.003149360535306406,0.0,0.0,0.0
adult,EBM_GA2M,48.47428879737854,223336.4,32300.8,0.9306899883167071,5,42,4885,1.6675690414744475,11894.252847488993,2802.019842899047,0.0039501286287955155,0.0,0.0,0.0
adult,EBM_GAM,39.32005205154419,223336.4,0.0,0.9298543669287612,5,42,4885,1.7918052670584976,11894.252847488993,0.0,0.004079585810191489,0.0,0.0,0.0
adult,EGB_XGB_GAM_BEST_FIT_BEST_FIT,252.7460389137268,153932.0,0.0,0.9290982542922805,5,42,4885,5.249140005401887,2960.3500637593525,0.0,0.004093155124575768,0.0,0.0,0.0
adult,EGB_XGB_GAM_CYCLIC_CYCLIC,410.49316930770874,252763.2,0.0,0.9298415281453645,5,42,4885,21.725432429312818,8141.003943003592,0.0,0.003991993087776018,0.0,0.0,0.0
adult,Spline,47.06008996963501,0.0,0.0,0.9206957520133964,5,42,4885,1.2683645163391464,0.0,0.0,0.003512501919022559,0.0,0.0,0.0
adult,XGB,0.553890323638916,0.0,0.0,0.9306928770429714,5,42,4885,0.10885084192912836,0.0,0.0,0.0037053971586211982,0.0,0.0,0.0
bike,EBM_GA2M,170.4006012916565,244622.4,1206620.8,-50.762560834964745,5,42,2607,17.480436891199005,40448.12090567373,98525.74170844897,1.364605151630999,0.0,0.0,0.0
bike,EBM_GAM,14.809356784820556,244622.4,0.0,-97.62720666602425,5,42,2607,2.852440890259863,40448.12090567373,0.0,1.1744760069637843,0.0,0.0,0.0
bike,EGB_XGB_GAM_BEST_FIT_BEST_FIT,96.02573442459106,98942.4,0.0,-97.50626471328239,5,42,2607,5.107557207122033,5177.770253690288,0.0,1.2156908144150582,0.0,0.0,0.0
