model_name,bias,variance,test_mse,test_score,n_subsamples,subsample_ratio,fit_time,d_name,split_idx,n_splits,random_state,test_size
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.24328861092313125,0.01906653789187003,0.2623551488150012,-0.5121864322776656,5,0.5,1704.0014476776123,california housing,0,5,42,3096
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.25047511095318425,0.019425546250735563,0.2699006572039198,-0.5195026568728831,5,0.5,1636.257395029068,california housing,1,5,42,3096
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.25856181992553134,0.018675908643014622,0.277237728568546,-0.5264976969621532,5,0.5,1692.2723581790924,california housing,2,5,42,3096
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.23277124822796214,0.019448480162151345,0.2522197283901135,-0.5021770257344628,5,0.5,1556.2245287895203,california housing,3,5,42,3096
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.24152425190471333,0.018275436245727677,0.25979968815044097,-0.5096629434382632,5,0.5,1698.0284473896027,california housing,4,5,42,3096
EGB_XGB_GA2M_CYCLIC_BEST_FIT,22.29912708231744,3.9625549104549185,26.26168199277236,-5.112491294452907,5,0.5,489.9207093715668,concrete,0,5,42,155
EGB_XGB_GA2M_CYCLIC_BEST_FIT,18.416801029773886,4.888051443447952,23.304852473221832,-4.817154619315767,5,0.5,432.25419902801514,concrete,1,5,42,155
EGB_XGB_GA2M_CYCLIC_BEST_FIT,16.25909184399841,3.962042484850247,20.221134328848656,-4.492189904228349,5,0.5,494.952969789505,concrete,2,5,42,155
EGB_XGB_GA2M_CYCLIC_BEST_FIT,22.488971189231044,5.635405147906048,28.124376337137097,-5.3026339820658865,5,0.5,454.3899805545807,concrete,3,5,42,155
EGB_XGB_GA2M_CYCLIC_BEST_FIT,16.98971938725147,4.045172741349972,21.034892128601438,-4.582722455508498,5,0.5,420.11767387390137,concrete,4,5,42,155
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.20636406919676548,0.0004889890569830908,0.20685305825374858,0.7359356553232521,5,0.5,99.47151708602905,compass,0,5,42,926
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.20264807991996164,0.0006647073321614175,0.20331278725212304,0.7483902071917405,5,0.5,110.79230666160583,compass,1,5,42,926
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.202628043829086,0.0006256706354264142,0.2032537144645124,0.7459998588932526,5,0.5,108.96928572654724,compass,2,5,42,926
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.2068336425283075,0.0006275618137635178,0.207461204342071,0.73515580536676,5,0.5,114.11477756500244,compass,3,5,42,926
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.20201675960592705,0.0005862573048026723,0.2026030169107297,0.747863879024482,5,0.5,114.46835279464722,compass,4,5,42,926
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.14409003423553887,0.0020683042517873024,0.14615833848732615,0.8158259083093278,5,0.5,285.2188012599945,support2,0,5,42,1366
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.1319906534100278,0.0017381843047880794,0.13372883771481586,0.8350902168330319,5,0.5,281.29179978370667,support2,1,5,42,1366
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.14229716002376727,0.0017135713250397066,0.144010731348807,0.8047308010093566,5,0.5,291.1809661388397,support2,2,5,42,1366
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.1403947572713158,0.0017164613146123731,0.14211121858592818,0.8165890667917196,5,0.5,301.000497341156,support2,3,5,42,1366
EGB_XGB_GA2M_CYCLIC_BEST_FIT,0.145220848289882,0.002204259483572268,0.14742510777345427,0.8000770416024654,5,0.5,297.3657627105713,support2,4,5,42,1366
EGB_XGB_GA2M_CYCLIC_CYCLIC,2669.693906639178,161.87432287519215,2831.5682295143697,-53.20846536389202,5,0.5,1759.2862420082092,bike,0,5,42,2607
EGB_XGB_GA2M_CYCLIC_CYCLIC,2548.4769610795247,171.5744677407711,2720.051428820296,-52.13900152110256,5,0.5,1734.8045227527618,bike,1,5,42,2607
