,d_name,model_name,mean_perf,std_perf,max_index_on_zero,interactions,min_max_index_on_zero,area_till_zero_mean
0,Crimes,EBM_GA2M,"[1.0, 0.9962262633344501, 0.9014321264385028, 0.8122106722484015, 0.7302631415961817, 0.6555983415133657, 0.5878376362732535, 0.5330361921439575, 0.4835104686779568, 0.44007971858629064, 0.4024077446983726, 0.3677978411886965, 0.33653374855829143, 0.3075292193534927, 0.28092987029957495]","[0.0, 0.006393236817069406, 0.011101354241049334, 0.020207733962313314, 0.027531571740863816, 0.0334786474405807, 0.03958949010583386, 0.04251357251687819, 0.04588202449969475, 0.04769118541687828, 0.05006869884888415, 0.05012203842459269, 0.04904598076438242, 0.04837382676199671, 0.04826918377185773]",38,False,15,0.5853520035543572
1,Crimes,EBM_GAM,"[1.0, 0.9859672196747127, 0.8910804996486037, 0.801818751494929, 0.7200577175599612, 0.6457259036630847, 0.5783104330148184, 0.5240031305029562, 0.47536906535363255, 0.4321798036242983, 0.3946107614955182, 0.3606129631466904, 0.3296126902434749, 0.30095513365930887, 0.2745909139217244]","[0.0, 0.002754272194442043, 0.009169191486067249, 0.019836797118016117, 0.028688489182613464, 0.03601313645960629, 0.04344557101360853, 0.04751393554358802, 0.05136520375681456, 0.05390328669823491, 0.05709480007323914, 0.057813248032311845, 0.05700475664045977, 0.05664262779308675, 0.05686786332857941]",40,False,15,0.5769713950030608
2,Crimes,EGB_XGB_GA2M_BEST_FIT_BEST_FIT,"[1.0, 0.9975841204030056, 0.6353449692075903, 0.3931893562577594, 0.26536708258318664, 0.16787379454511558, 0.12889702597955371, 0.09965981754104193, 0.07519765645765829, 0.05579630582607879, 0.03976262408340334, 0.02688243145824326, 0.01711180516731054, 0.00893181944645036, 0.00197381408756638]","[0.0, 0.0036365592534938758, 0.025943482866979097, 0.04819963662801702, 0.04770174310896226, 0.0494238822405036, 0.04589049551511952, 0.04444064423668472, 0.04442067374352988, 0.044699292150220886, 0.04225809935194343, 0.04041764740952944, 0.03904878830352434, 0.03796507265926716, 0.036441567998931286]",15,False,15,0.2437561225714415
3,Crimes,EGB_XGB_GA2M_CYCLIC_BEST_FIT,"[1.0, 0.9992914979825216, 0.9059134093837194, 0.818699560967033, 0.7368429503841118, 0.6621676341168911, 0.5951969207840165, 0.5403376175698851, 0.4906118795993642, 0.4478820755917706, 0.4098077713749536, 0.37602307999159473, 0.34472397016533873, 0.3157642820146851, 0.2891287070579893]","[0.0, 0.005804043865476888, 0.006669129200611826, 0.013818515440473795, 0.020722146280133625, 0.026572831098490013, 0.03045741913328787, 0.034437881163805986, 0.039691099065059444, 0.04080268839108079, 0.04287324064933194, 0.042999970214046675, 0.042747583943753706, 0.04305679878407305, 0.04224505552616012]",42,False,15,0.5919876431039199
4,Crimes,EGB_XGB_GA2M_CYCLIC_CYCLIC,"[1.0, 0.9979509892129486, 0.9042257799679101, 0.8167194711089101, 0.7347601082823405, 0.6599231125369764, 0.5928185221796776, 0.5378529299480126, 0.48809339460563567, 0.44531452497622015, 0.40705379487499405, 0.3731897260146761, 0.34167479970668424, 0.31252432582855055, 0.28554906249084044]","[0.0, 0.004658856822480085, 0.009466570151120212, 0.01782351835560292, 0.025772055161834558, 0.031735591780565564, 0.036206515734959664, 0.04057462388617869, 0.0457618301217755, 0.04672650383104337, 0.048845942203292414, 0.04888225806290531, 0.04839961858420722, 0.048526953022734166, 0.04802249645354688]",40,False,15,0.5896340007492112
5,Crimes,EGB_XGB_GAM_BEST_FIT_BEST_FIT,"[1.0, 1.0, 0.6376958855814647, 0.3944870884654115, 0.2659452930538392, 0.16806127288517064, 0.12894158563174918, 0.09941582210879271, 0.07462443635213141, 0.05497669798156788, 0.03876445331116608, 0.02553406982274422, 0.015699832947473444, 0.007919051498845187, 0.001346148035347345]","[0.0, 0.0010204679174235026, 0.026083917105816392, 0.04850975447790829, 0.0467911705035867, 0.047347351871356524, 0.04323549863121393, 0.04189984449369559, 0.04216920347272313, 0.04274173060114724, 0.04038420349846098, 0.03847544522231123, 0.037074079310218236, 0.03514779361340071, 0.03347877563775391]",15,False,15,0.24376704026128784
6,Crimes,EGB_XGB_GAM_CYCLIC_CYCLIC,"[1.0, 0.9861129768486556, 0.8912799601171983, 0.802686282857354, 0.7199407608984155, 0.6443594471101196, 0.5766878738708628, 0.5215967357521349, 0.4719329934036958, 0.42891297236225157, 0.39039116063493334, 0.356553847368111, 0.3249638576974706, 0.29580234721423554, 0.26914587893727254]","[0.0, 0.0028655991622482915, 0.008491814658904558, 0.017313136095151827, 0.02584048348866221, 0.03239550126711355, 0.03747123453503996, 0.042437724737807866, 0.0477074473195948, 0.04908960767504618, 0.051586732545054075, 0.051971557527042446, 0.05167620738875367, 0.05192587430247246, 0.05132589013222642]",39,False,15,0.5746995825431482
7,adult,EBM_GA2M,"[1.0, 0.9975127899839386, 0.7213253045501348, 0.5275616717441454, 0.3777492802240342, 0.2699355805287581, 0.17766928596285916, 0.11903581756006516, 0.07242074930890126, 0.0385676520592383, 0.02171298000172357, 0.011290210165694557]","[0.0, 0.0012851346505563701, 0.0070690300373112865, 0.017148251748618552, 0.015562897703106747, 0.0069768284918041625, 0.00911813074349692, 0.009281410581719548, 0.007918015247078348, 0.006756390549038668, 0.002643615940189672, 0.002782759312204911]",18,False,12,0.34810329245514965
8,adult,EBM_GAM,"[1.0, 0.9928650186931733, 0.708628265372503, 0.5126243833761297, 0.36281109257601596, 0.2545304174822212, 0.16561233855420687, 0.10666854490500521, 0.060158993076372846, 0.02807937084236995, 0.01330470717319009, 0.004705968522570948]","[0.0, 0.002145173477294343, 0.0075454965580909516, 0.01631807141629846, 0.014296233060390464, 0.007921437905119672, 0.010579288768991354, 0.010160458889174656, 0.00760968408830052, 0.006482763186540666, 0.0027817620494363423, 0.0024771222238411457]",15,False,12,0.33705782875567947
9,adult,EGB_XGB_GA2M_CYCLIC_BEST_FIT,"[1.0, 0.9996297567510286, 0.7209839860477362, 0.5091083854545062, 0.3490487424757145, 0.24429850973159942, 0.1621108100826552, 0.1045154832342898, 0.05977170035594137, 0.028848733331085147, 0.014742910725308667, 0.007232570327516799]","[0.0, 0.0010822282141126393, 0.0070413363901113465, 0.005480312420170106, 0.010733350522466255, 0.007444878458492295, 0.00892806745031347, 0.010131801664122702, 0.007378127049902972, 0.006215340756421844, 0.0024246014798590416, 0.003128417311330662]",15,False,12,0.3360613912139658
10,adult,EGB_XGB_GA2M_CYCLIC_CYCLIC,"[1.0, 0.9988124095632228, 0.7203142612070842, 0.5088220930236733, 0.348878319305541, 0.24448523665272268, 0.16271577360593475, 0.10504680887550914, 0.06036605989200574, 0.029487286761462957, 0.015253697680684889, 0.007787789404589423]","[0.0, 0.0023699389702590075, 0.005654546279687669, 0.004517391464907997, 0.01122807818491705, 0.00810690021496623, 0.009293553576429234, 0.010360543839445758, 0.007493114300403892, 0.0063384313754605666, 0.002629313025374401, 0.003254399688131637]",15,False,12,0.3361887128427396
11,adult,EGB_XGB_GAM_BEST_FIT_BEST_FIT,"[1.0, 0.9936203140155342, 0.7271897840916994, 0.515280341795283, 0.34430839344908365, 0.2177345562375978, 0.12878471942863412, 0.07722602117060104, 0.03963534814565529, 0.014585578118202536, 0.003289716322665123, 0.0003488838622718656]","[0.0, 0.0016664467444042984, 0.003947824787050301, 0.007004706629719696, 0.013312912868257807, 0.01406859425942978, 0.010695003233370571, 0.010589593580456377, 0.009057294503322717, 0.005966808676625738, 0.0025740724179539954, 0.002509080209933846]",12,False,12,0.32380265588237206
12,adult,EGB_XGB_GAM_CYCLIC_CYCLIC,"[1.0, 0.9919125554628666, 0.7124476129352587, 0.501956176894731, 0.3425168582756042, 0.2383559638618374, 0.15679436658646734, 0.09927871379974632, 0.055130904244434106, 0.024876796215643232, 0.011037651832864334, 0.004048192037981784]","[0.0, 0.0019799839903089853, 0.0072163791919864755, 0.006875882990068087, 0.011742177491284022, 0.008318989308743363, 0.009912060814435759, 0.010564989783336701, 0.007370518072229472, 0.0059643468746294, 0.002344274365298447, 0.0025059673740110717]",13,False,12,0.3305756087389495
13,bike,EBM_GA2M,"[1.0, 1.0, 0.6059725003452967, 0.4848008422279202, 0.39208944135190543, 0.3153177686460993, 0.2638874189200453, 0.21660979319235193, 0.17836171570924997, 0.1475671202424235, 0.1194943081246738]","[0.0, 0.015838991937629006, 0.00990637046123535, 0.014478814085069429, 0.012800302344138688, 0.012650318609121206, 0.006111968427025696, 0.0050621937232769474, 0.006242507638241754, 0.006723883117103623, 0.005734304398657646]",29,False,11,0.4164353754697629
