fit_time,fit_trees_main,fit_trees_inter,test_score,model_name,d_name,split_idx,n_splits,random_state,test_size
78.216059923172,100000.0,0.0,-0.0209508403327964,EGB_XGB_GAM_CYCLIC_RANDOM_REVERSE_CYCLIC_RANDOM_REVERSE,synthetic_ordering100,3,5,42,150
76.49167561531067,100000.0,0.0,-0.0195284960655129,EGB_XGB_GAM_CYCLIC_RANDOM_REVERSE_CYCLIC_RANDOM_REVERSE,synthetic_ordering100,4,5,42,150
1112.4619553089142,100000.0,0.0,-0.0212529730629647,EGB_XGB_GAM_CYCLIC_CYCLIC,synthetic_ordering1000,0,5,42,150
1111.776938915253,100000.0,0.0,-0.022468064030335,EGB_XGB_GAM_CYCLIC_CYCLIC,synthetic_ordering1000,1,5,42,150
1114.4340946674347,100000.0,0.0,-0.0211101194275995,EGB_XGB_GAM_CYCLIC_CYCLIC,synthetic_ordering1000,2,5,42,150
1122.040807247162,100000.0,0.0,-0.0209508403327964,EGB_XGB_GAM_CYCLIC_CYCLIC,synthetic_ordering1000,3,5,42,150
1101.4313814640043,100000.0,0.0,-0.0195284960655128,EGB_XGB_GAM_CYCLIC_CYCLIC,synthetic_ordering1000,4,5,42,150
30.471585988998413,100000.0,0.0,-0.0212529730629647,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering10,0,5,42,150
30.51387047767639,100000.0,0.0,-0.022468064030335,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering10,1,5,42,150
30.661811590194706,100000.0,0.0,-0.0211101194275995,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering10,2,5,42,150
30.73867177963257,100000.0,0.0,-0.0209508403327964,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering10,3,5,42,150
29.999558687210083,100000.0,0.0,-0.0195284960655129,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering10,4,5,42,150
75.71526575088501,100000.0,0.0,-0.0212529730629647,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering100,0,5,42,150
79.58637356758118,100000.0,0.0,-0.022468064030335,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering100,1,5,42,150
76.75611591339111,100000.0,0.0,-0.0211101194275995,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering100,2,5,42,150
76.3609893321991,100000.0,0.0,-0.0209508403327964,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering100,3,5,42,150
75.72773861885071,100000.0,0.0,-0.0195284960655129,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering100,4,5,42,150
1099.759698867798,100000.0,0.0,-0.0212529730629648,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering1000,0,5,42,150
1104.471488237381,100000.0,0.0,-0.022468064030335,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering1000,1,5,42,150
1115.7291729450226,100000.0,0.0,-0.0211101194275996,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering1000,2,5,42,150
1100.671228647232,100000.0,0.0,-0.0209508403327965,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering1000,3,5,42,150
1095.7344126701355,100000.0,0.0,-0.0195284960655129,EGB_XGB_GAM_RANDOM_RANDOM,synthetic_ordering1000,4,5,42,150
30.03981900215149,100000.0,0.0,-0.0212529730629647,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,synthetic_ordering10,0,5,42,150
30.23780107498169,100000.0,0.0,-0.022468064030335,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,synthetic_ordering10,1,5,42,150
30.43628835678101,100000.0,0.0,-0.0211101194275995,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,synthetic_ordering10,2,5,42,150
30.498888969421387,100000.0,0.0,-0.0209508403327964,EGB_XGB_GAM_CYCLIC_RANDOM_CYCLIC_RANDOM,synthetic_ordering10,3,5,42,150
