,param_index,SCONE_QUEUES,SCONE_SLOTS,SCONE_SSPINS,SCONE_SSLEEP,throughput,latency,failed,time,param_iter
108,31,5,726,1608,3742,4276.794115131298,211.05764013103683,0.0,23382.0,2
109,31,5,726,1608,3742,4125.923175310476,220.15900698402504,0.0,24237.0,1
110,31,5,726,1608,3742,4304.407713498623,209.6896867048346,0.0,23232.0,4
111,32,1,1686,658,1292,5455.239757787354,171.37728109492556,0.0,18331.0,1
112,32,1,1686,658,1292,5380.104374024856,176.33306006558425,0.0,18587.0,2
113,32,1,1686,658,1292,5391.4168643519515,171.96982241420687,0.0,18548.0,3
114,32,1,1686,658,1292,5412.134004437949,171.04883384850066,0.0,18477.0,4
115,33,2,666,362,220,4128.307806630062,243.64898894312182,0.0,24223.0,0
116,33,2,666,362,220,4675.081813931743,192.20423899798237,0.0,21390.0,4
117,33,2,666,362,220,5110.12315396801,178.85576634147318,0.0,19569.0,3
118,33,2,666,362,220,5200.74890784273,176.08267093803184,0.0,19228.0,1
119,33,2,666,362,220,5040.576641967841,182.49624345602047,0.0,19839.0,2
120,34,5,1626,1312,2670,3391.209983722192,304.9931524677145,0.0,29488.0,4
121,34,5,1626,1312,2670,4340.466166066236,204.25597372163358,0.0,23039.0,0
122,34,5,1626,1312,2670,4349.338900487126,205.75393633835503,0.0,22992.0,3
123,34,5,1626,1312,2670,4267.850283812044,205.23618543683483,0.0,23431.0,2
124,34,5,1626,1312,2670,4338.394793926247,206.28790039160558,0.0,23050.0,1
125,35,7,186,1787,1445,4431.445537534344,202.4897244603601,0.0,22566.0,4
126,35,7,186,1787,1445,4660.700969425801,192.40811580255823,0.0,21456.0,0
127,35,7,186,1787,1445,3582.1750967187277,259.6062663498213,0.0,27916.0,1
128,35,7,186,1787,1445,4577.706569008927,197.22667466506698,0.0,21845.0,2
129,35,7,186,1787,1445,4664.831832812427,193.19414474602635,0.0,21437.0,3
130,36,3,1146,837,3895,64.75350284073618,1900.3183847402597,45221.0,1544318.0,0
131,37,4,426,1074,832,92.28369854607033,1267.372317954419,32181.0,1083615.0,0
132,38,8,1386,124,3282,170.95624374941235,819.0429096587397,19195.0,584945.0,0
133,39,6,906,599,2057,4091.485618428051,231.98852183650615,0.0,24441.0,1
134,39,6,906,599,2057,3988.1949429688125,242.67292779942946,0.0,25074.0,4
135,39,6,906,599,2057,3701.9212971532224,242.4506017352365,0.0,27013.0,3
136,39,6,906,599,2057,3985.6516540454363,228.30661390391347,0.0,25090.0,0
137,39,6,906,599,2057,3850.3003234252274,245.99366136441137,0.0,25972.0,2
138,40,3,1866,1549,4507,4589.050525446285,194.22955639234007,0.0,21791.0,2
139,40,3,1866,1549,4507,4512.22813825467,194.225661857403,0.0,22162.0,0
140,40,3,1866,1549,4507,4595.588235294118,190.94326896053317,0.0,21760.0,1
141,40,3,1866,1549,4507,4545.454545454545,195.2365103781689,0.0,22000.0,3
142,40,3,1866,1549,4507,4240.162822252374,213.26233242093065,0.0,23584.0,4
