,param_index,SCONE_QUEUES,SCONE_SLOTS,SCONE_SSPINS,SCONE_SSLEEP,wiredTigerCacheSizeGB,throughput,latency,failed,time,param_iter
237,223,2,362,1909,1741,80,9545.901467205056,103.377514,0.0,104757.0,4
238,223,2,362,1909,1741,80,9704.968944099379,101.622587,0.0,103040.0,6
239,223,2,362,1909,1741,80,251.73875961264454,378.2785575011101,482010.0,3972372.0,7
240,223,2,362,1909,1741,80,9432.182607055272,104.549565,0.0,106020.0,2
241,223,2,362,1909,1741,80,9712.415380580996,101.585582,0.0,102961.0,3
242,223,2,362,1909,1741,80,10153.727433340779,97.126786,0.0,98486.0,1
243,223,2,362,1909,1741,80,8969.092507220119,110.110922,0.0,111494.0,5
244,223,2,362,1909,1741,80,6127.000465652035,160.943849,0.0,163212.0,0
245,226,4,1802,1434,2966,58,278.9734113231402,378.9251687465699,469767.0,3584571.0,0
246,227,3,1082,722,2354,24,310.6550970424392,343.41929324049215,429707.0,3219004.0,0
247,229,5,602,1197,1129,92,352.0349556629575,342.7770698388039,376908.0,2840627.0,0
248,230,1,1562,247,3579,47,407.9755965317179,320.91408420020696,375726.0,2451127.0,0
249,231,1,606,1965,2210,27,573.4474340807839,219.78694548517325,139225.0,1743839.0,1
250,234,3,2046,1490,3435,50,740.3612370547837,208.81504682358897,83368.0,1350692.0,0
251,235,4,846,777,1598,83,1025.97880943367,207.75342323875284,73100.0,974679.0,0
252,236,7,1806,1727,4048,38,1692.3079526627619,205.41723882703133,61015.0,590909.0,0
253,237,5,366,1252,373,16,9374.004012073718,105.248379,0.0,106678.0,2
254,237,5,366,1252,373,16,164.0615066588464,1635.8992676011972,873020.0,6095275.0,5
255,237,5,366,1252,373,16,10391.013851221463,94.753083,0.0,96237.0,3
256,237,5,366,1252,373,16,9254.375005783984,106.605528,0.0,108057.0,4
257,237,5,366,1252,373,16,5434.900758712146,181.77749,0.0,183996.0,0
258,237,5,366,1252,373,16,9721.668627203173,101.443178,0.0,102863.0,1
259,238,2,1326,302,2823,61,175.3548568560768,1573.872872997323,879349.0,5702722.0,0
260,239,2,966,1371,4354,67,186.89632487066774,1653.5822886411968,879151.0,5350560.0,0
261,242,4,1446,1846,679,89,201.7689894379987,1526.5524875479007,878133.0,4956163.0,0
262,243,3,246,183,4967,33,216.0932883369482,1586.405180610202,870633.0,4627631.0,0
263,245,5,726,1608,3742,55,243.47131664418615,1392.2581081189808,875711.0,4107260.0,0
264,246,1,1686,658,1292,10,250.1234984773732,1763.878894992437,874390.0,3998025.0,0
265,247,2,666,362,220,52,263.8225192043007,1860.766145371241,848966.0,3790427.0,1
266,250,3,1146,837,3895,30,318.22496659433415,1813.4874537397573,854897.0,3142431.0,0
267,251,4,426,1074,832,64,348.51888188172313,2019.5645694030452,863457.0,2869285.0,0
268,252,8,1386,124,3282,19,405.10710424175494,1349.247058076739,795202.0,2468483.0,2
269,254,3,1866,1549,4507,86,479.8902011219833,1059.6051437444978,735329.0,2083810.0,0
270,255,2,306,955,3588,92,1480.4616079293523,173.2055006951415,146217.0,675465.0,3
271,258,4,1746,480,2363,69,238.97329425642025,300.3294105379195,395839.0,4184568.0,2
272,258,4,1746,480,2363,69,11644.154634373544,84.466236,0.0,85880.0,1
273,258,4,1746,480,2363,69,9279.364549115677,106.040885,0.0,107766.0,0
274,259,3,1026,1668,2976,13,262.1490348721132,292.80254679008584,369952.0,3814624.0,0
275,261,5,546,243,4201,81,292.17306345502243,285.1492161270294,304224.0,3422629.0,0
276,262,1,1506,1193,1751,36,328.9577565607335,292.2507890036395,329851.0,3039904.0,0
277,263,1,1056,866,4890,57,373.0309097142098,277.3848944449797,252712.0,2680743.0,0
278,266,3,1536,391,1215,79,437.85501832204324,287.64525208144727,269859.0,2283861.0,0
279,267,4,336,1579,4277,45,548.7414067095709,253.53731481214774,166792.0,1822352.0,0
280,268,7,1296,629,1827,90,692.9685177472702,242.4631368394956,112610.0,1443067.0,0
281,270,2,1776,1104,602,23,937.1113916197877,235.35809582796605,89389.0,1067109.0,0
282,271,3,456,510,1521,17,1555.2172094115524,230.91707971704946,54393.0,642997.0,0
283,274,4,1896,985,2746,40,6104.894293755304,162.397351,0.0,163803.0,5
284,274,4,1896,985,2746,40,254.68466981660666,596.2390110768528,562150.0,3926424.0,7
285,274,4,1896,985,2746,40,5757.88109975529,172.24984,0.0,173675.0,3
286,274,4,1896,985,2746,40,5608.053164343998,176.949384,0.0,178315.0,1
287,274,4,1896,985,2746,40,5851.614753091116,169.495404,0.0,170893.0,6
288,274,4,1896,985,2746,40,4649.324685589419,212.784396,0.0,215085.0,0
289,274,4,1896,985,2746,40,5506.122808563122,180.232094,0.0,181616.0,2
290,274,4,1896,985,2746,40,5776.573683085615,171.732499,0.0,173113.0,4
291,275,4,696,1223,2134,96,283.15184244072356,629.8247011616813,643620.0,3531674.0,0
292,276,7,1656,273,4584,51,315.4543283646122,553.5513121971669,530063.0,3170031.0,0
293,277,5,216,748,909,29,356.2970334352699,526.6247602489271,492703.0,2806647.0,0
294,278,2,1176,1698,3359,74,411.65273633806896,523.2214682538897,494379.0,2429232.0,0
295,279,2,156,1519,2899,82,725.9443810453018,192.89513480426254,101475.0,1377516.0,2
296,282,3,1596,1994,1674,59,1015.2294570857432,193.41406486343928,97581.0,984999.0,0
297,283,4,876,332,3512,26,1758.1490207109955,186.24544580793184,59438.0,568780.0,0
298,284,8,1836,1282,1062,71,6170.516040256447,160.053632,0.0,162061.0,0
299,284,8,1836,1282,1062,71,242.88652171684825,356.9144589292375,576414.0,4117149.0,1
300,286,2,1356,807,2287,48,267.6096517167427,381.74770939982795,554811.0,3736786.0,0
301,287,2,756,1876,756,43,294.0526095404781,408.5053445493104,520446.0,3400752.0,0
302,290,4,1236,1401,4431,20,332.33742883824806,393.1587739223611,431651.0,3008990.0,0
